Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
9849.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.02,,,8.800000000000001,0.05,,0.33,4.3,4,1.2,2.5,4.9,6.1,0.4,46.0664437381367,11.13020613503688
9850.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.03,,,11,0.06,,0.34,4.3,3,0.9,2.5,4.9,7.6,0.5,46.06638884474997,11.13036009131694
9852.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.03,,,12.9,0.07000000000000001,,0.8,11.6,5,1.5,2.5,4.9,8.9,0.5,46.06635902546764,11.13041467327551
9853.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.03,,,10.9,0.06,,0.46,6.3,4,1.2,2.5,4.9,7.5,0.5,46.06633106835304,11.13048523109741
9854.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.07000000000000001,,,31,0.16,,0.93,11.6,5,1.5,4,12.6,21.3,1.3,46.06629747545603,11.13056358870719
9855.0,Prunus cerasifera,9,173.02,16.5,2.64,1.4,0.23,0,0.02,,,6.8,0.03,,0.28,3.7,3,0.9,2,3.1,4.7,0.3,46.06618720196389,11.13082997460669
9856.0,Prunus cerasifera,5,53.4,3.9,0.63,0.6,0.1,0,0.01,,,5.5,0.03,,0.14,1.6,2,0.6,2,3.1,3.8,0.2,46.06616059215811,11.13089101548526
9857.0,Prunus cerasifera,7,104.67,8.9,1.43,1,0.16,0,0.01,,,5.8,0.03,,0.2,2.6,2,0.6,2,3.1,4,0.2,46.066121461161,11.13098157244493
9858.0,Prunus cerasifera,19,714.42,101.5,16.31,4.1,0.65,0.1,0.11,,,46.7,0.24,,1,10.8,5,1.5,5,19.6,32.2,2,46.06609896277243,11.13104897796894
9859.0,Prunus cerasifera,22,836.12,145,23.3,5,0.8,0,0.07000000000000001,,,28.2,0.14,,1.01,13.3,6,1.8,4,12.6,19.4,1.2,46.06607717752053,11.13110710112985
9860.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.03,,,14.2,0.07000000000000001,,0.53,7,6,1.8,3,7.1,9.800000000000001,0.6,46.06603921392549,11.13120261623047
9861.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.09,,,38.3,0.2,,0.89,10,5,1.5,4.5,15.9,26.4,1.6,46.06601306567798,11.13126302802944
9862.0,Prunus cerasifera,9,173.02,16.5,2.64,1.4,0.23,0,0.02,,,6.8,0.03,,0.28,3.7,3,0.9,2,3.1,4.7,0.3,46.06598950155612,11.1313248322869
9863.0,Prunus cerasifera,28,1132.95,260.9,41.92,7,1.13,0.1,0.1,,,41.9,0.22,,1.45,18.8,6,1.8,4.5,15.9,28.9,1.8,46.06592274999394,11.13146785616013
9865.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.02,,,9.699999999999999,0.05,,0.34,4.3,3,0.9,2.5,4.9,6.7,0.4,46.06589927088286,11.1315299221082
9866.0,Prunus cerasifera,7,104.67,8.9,1.43,1,0.16,0,0.01,,,5.5,0.03,,0.2,2.6,3,0.9,2,3.1,3.8,0.2,46.06578365686655,11.13177851351627
9869.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.07000000000000001,,,31,0.16,,0.93,11.6,6,1.8,4,12.6,21.4,1.3,46.06567941767847,11.13210240746808
9870.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.03,,,12.4,0.06,,0.52,7,4,1.2,3,7.1,8.5,0.5,46.06564828440435,11.13216947941571
